ESSK|GAVLE/SANDVIKEN AFB|60.6|16.95|68
ESSD|BORLANGE (SWE-AFB)|60.433|15.5|153
ESSU|ESKILSTUNA(SWE-AFB|59.35|16.717|40
ESCL|SODERHAMN (SWE-AFB)|61.267|17.1|36
ESSP|NORRKOPING/KUNGSANG|58.583|16.25|5
ESMK|KRISTIANSTAD/EVEROD|55.917|14.083|23
ESKV|ARVIKA|59.667|12.583|75
EVSM|MALUNG|60.683|13.717|308
ESKV|ARVIKA|59.667|12.633|67
ESOK|KARLSTAD FLYGPLATS|59.45|13.467|100
ESOE|OREBRO|59.217|15.033|57
ESKM|MORA|60.95|14.517|193
ESST|TORSBY|60.15|12.983|120
ESSD|BORLANGE|60.433|15.517|150
ESOW|VASTERAS/HASSLO AFB|59.583|16.633|31
ESSK|GAVLE/SANDVIKEN AFB|60.717|17.167|16
ESCM|UPPSALA|59.9|17.6|21
ESSB|STOCKHOLM/BROMMA|59.367|17.9|14
ESCN|TULLINGE|59.183|17.917|45
ESKN|SKAVSTA|58.783|16.9|43
ESGT|TROLLHATTAN VANERSB|58.317|12.333|42
ESGL|LIDKOPING|58.45|13.167|61
ESGP|GOTEBORG/SAVE|57.783|11.883|16
ESNX|ARVIDSJAUR|65.583|19.283|379
ESIB|SATENAS|58.433|12.717|54
ESGT|TROLLHATTAN/VANERS|58.317|12.333|43
ESGR|SKOVDE AIRPORT|58.45|13.967|105
ESGJ|JONKOPING/AXAMO|57.75|14.083|224
ESMV|HAGSHULT|57.3|14.133|169
ESCF|LINKOPING/MALMSLATT|58.4|15.533|93
ESSL|SAAB|58.4|15.667|52
ESTA|ANGELHOLM|56.3|12.85|21
ESSF|MALILLA|57.517|15.833|112
ESSP|NORRKOPING/KUNGSANG|58.583|16.149|8
ESSV|VISBY|57.667|18.35|47
ESMT|HALMSTAD (SWE-AFB)|56.683|12.833|30
ESDB|ANGELHOLM/BARKAKRA|56.283|12.083|18
ESDA|LJUNGBYHED(SWE-AFB)|56.083|13.233|52
ESMX|VAXJO/KRONOBERG|56.933|14.733|186
ESMK|KRISTIANSTAD/EVEROD|55.917|14.083|23
ESDF|RONNEBY/BREDAKRA|56.267|15.267|58
ESMQ|KALMAR|56.733|16.3|16
EFKT|KITTILA|67.696|24.858|191
EFVR|JOROINEN VARKAUS AIR|62.174|27.86|87
